DISCOUNT_BAND,NUM_TRANSACTIONS,AVG_QUANTITY,AVG_SALES_VALUE,AVG_DISCOUNT_GIVEN,AVG_GROSS_PRICE,AVG_DISCOUNT_PCT,QUANTITY_LIFT_VS_BASELINE_PCT,SALES_LIFT_VS_BASELINE_PCT,NET_REVENUE_AFTER_DISCOUNT
6-10%,188612,3.00,10.12,0.83,10.95,7.6,-0.10,31.43,9.28
21-30%,193507,3.00,6.5,2.07,8.57,24.45,-0.06,-15.55,4.43
16-20%,175697,3.00,8.95,1.88,10.83,17.43,-0.03,16.29,7.07
1-5%,128118,3.00,10.49,0.32,10.81,3,-0.04,36.31,10.17
0% (No Discount),1700894,3.00,7.7,0,7.7,0,0.00,0,7.7
30%+,242231,3.00,2.75,2.16,4.91,47.1,0.04,-64.28,0.59
11-15%,196326,3.01,9.75,1.39,11.14,12.51,0.18,26.63,8.35
